file containing parameters from fit: center_1, sigma_1, center_2, sigma_2
spatial size wide (mm)	8.191+/-0.014	0.361+/-0.014	8.265+/-0.030	0.510+/-0.030
spatial size narrow (mm)	6.176+/-0.017	0.386+/-0.017	6.515+/-0.028	0.490+/-0.028
temporal size wide (s)	3.590+/-0.005	0.100+/-0.005	3.648+/-0.007	0.137+/-0.007
temporal size narrow (s)	2.720+/-0.004	0.131+/-0.004	2.864+/-0.006	0.136+/-0.006
temporal distance wide (mm)	0.9363+/-0.0023	0.0710+/-0.0023	0.9148+/-0.0023	0.0679+/-0.0023
temporal distance narrow (mm)	1.825+/-0.004	0.115+/-0.004	1.689+/-0.006	0.095+/-0.006
period wide (s)	4.556+/-0.009	0.122+/-0.009	4.546+/-0.011	0.146+/-0.011
period narrow (s)	4.562+/-0.007	0.141+/-0.007	4.558+/-0.010	0.156+/-0.010
mean velocity wide, narrow (mm/s)	2.35496+/-0.00007	2.34784+/-0.00017
