1,348	3,232	0,000
1,362	3,262	0,010
1,362	3,267	0,021
1,362	3,276	0,031
1,362	3,276	0,043
1,372	3,276	0,053
1,362	3,252	0,066
1,362	3,228	0,087
1,362	3,223	0,107
1,362	3,237	0,130
1,372	3,276	0,151
1,377	3,271	0,173
1,377	3,267	0,195
1,382	3,237	0,217
1,377	3,232	0,238
1,382	3,252	0,261
1,387	3,271	0,282
1,392	3,276	0,304
1,387	3,252	0,326
1,396	3,232	0,348
1,392	3,242	0,369
1,406	3,271	0,392
1,406	3,276	0,413
1,411	3,267	0,435
1,406	3,237	0,457
1,411	3,237	0,479
1,411	3,252	0,500
1,426	3,276	0,523
1,426	3,271	0,544
1,431	3,252	0,566
1,431	3,228	0,588
1,436	3,237	0,610
1,440	3,267	0,631
1,450	3,276	0,654
1,450	3,267	0,675
1,455	3,237	0,697
1,460	3,232	0,719
1,465	3,257	0,741
1,470	3,271	0,762
1,475	3,276	0,784
1,489	3,262	0,806
1,489	3,232	0,828
1,494	3,242	0,849
1,504	3,267	0,872
1,514	3,276	0,893
1,523	3,271	0,915
1,523	3,237	0,937
1,523	3,237	0,959
1,533	3,252	0,980
1,543	3,271	1,003
1,548	3,271	1,026
1,543	3,237	1,048
1,553	3,257	1,072
1,562	3,276	1,094
1,562	3,247	1,117
1,558	3,237	1,140
1,567	3,276	1,163
1,567	3,267	1,186
1,572	3,228	1,209
1,577	3,252	1,231
1,582	3,276	1,255
1,582	3,247	1,277
1,577	3,232	1,300
1,587	3,267	1,324
1,587	3,267	1,346
1,587	3,228	1,369
1,587	3,247	1,392
1,597	3,276	1,415
1,597	3,252	1,437
1,592	3,232	1,461
1,602	3,267	1,483
1,606	3,271	1,506
1,602	3,228	1,529
1,611	3,257	1,552
1,616	3,271	1,574
1,621	3,252	1,598
1,611	3,232	1,620
1,626	3,267	1,643
1,636	3,276	1,667
1,631	3,232	1,689
1,636	3,252	1,712
1,650	3,276	1,735
1,650	3,252	1,758
1,650	3,237	1,780
1,655	3,271	1,804
1,660	3,271	1,826
1,660	3,228	1,849
1,665	3,252	1,872
1,670	3,271	1,895
1,675	3,257	1,918
1,665	3,237	1,941
1,680	3,267	1,964
1,685	3,276	1,987
1,675	3,228	2,010
1,680	3,252	2,032
1,685	3,276	2,056
1,685	3,257	2,078
1,680	3,237	2,101
1,685	3,267	2,124
1,680	3,267	2,147
1,680	3,228	2,169
1,685	3,247	2,193
1,689	3,276	2,215
1,685	3,257	2,238
1,685	3,232	2,262
1,685	3,267	2,284
1,685	3,271	2,307
1,680	3,228	2,330
1,685	3,247	2,353
1,689	3,276	2,375
1,685	3,252	2,399
1,685	3,237	2,421
1,685	3,267	2,444
1,685	3,271	2,467
1,680	3,232	2,490
1,685	3,252	2,512
1,689	3,281	2,536
1,685	3,262	2,558
1,680	3,232	2,581
1,689	3,262	2,605
1,689	3,271	2,627
1,680	3,223	2,651
1,689	3,252	2,673
1,689	3,276	2,696
1,685	3,257	2,719
1,680	3,232	2,742
1,685	3,267	2,764
1,685	3,281	2,788
1,680	3,228	2,810
1,685	3,247	2,833
1,689	3,276	2,856
1,685	3,262	2,879
1,680	3,228	2,902
1,689	3,262	2,925
1,685	3,276	2,948
1,685	3,237	2,970
1,685	3,237	2,994
1,694	3,281	3,016
1,685	3,257	3,039
1,685	3,232	3,062
1,689	3,267	3,085
1,689	3,271	3,107
1,685	3,237	3,131
1,685	3,247	3,153
1,689	3,276	3,176
1,685	3,267	3,200
1,680	3,232	3,222
1,680	3,257	3,245
1,685	3,276	3,268
1,680	3,237	3,291
1,685	3,242	3,313
1,694	3,281	3,337
1,685	3,262	3,359
1,680	3,223	3,383
1,685	3,262	3,405
1,685	3,271	3,428
1,680	3,242	3,451
1,680	3,247	3,474
1,694	3,276	3,496
1,689	3,267	3,520
1,680	3,228	3,543
1,685	3,262	3,565
1,689	3,271	3,589
1,685	3,242	3,611
1,685	3,247	3,634
1,689	3,271	3,657
1,689	3,262	3,680
1,680	3,228	3,702
1,685	3,262	3,726
1,694	3,276	3,748
1,685	3,242	3,771
1,680	3,237	3,794
1,689	3,276	3,817
1,689	3,267	3,840
1,680	3,228	3,863
1,685	3,257	3,886
1,689	3,281	3,908
1,680	3,242	3,932
1,689	3,242	3,954
1,689	3,271	3,977
1,689	3,271	4,000
1,680	3,228	4,023
1,680	3,252	4,045
1,685	3,276	4,069
1,685	3,247	4,091
1,685	3,242	4,115
1,689	3,271	4,137
1,689	3,271	4,160
1,680	3,223	4,184
1,685	3,257	4,206
1,689	3,281	4,229
1,685	3,242	4,252
1,685	3,237	4,275
1,685	3,271	4,297
1,689	3,267	4,321
1,680	3,223	4,343
1,685	3,257	4,366
1,685	3,281	4,389
1,685	3,242	4,412
1,689	3,242	4,434
1,689	3,276	4,458
1,694	3,271	4,481
1,680	3,228	4,503
1,675	3,252	4,527
1,689	3,276	4,549
1,685	3,247	4,572
1,685	3,242	4,595
1,689	3,276	4,618
1,689	3,271	4,640
1,680	3,228	4,664
1,689	3,252	4,686
1,689	3,276	4,709
1,685	3,247	4,732
1,680	3,237	4,755
1,685	3,271	4,777
1,685	3,267	4,801
1,685	3,228	4,824
1,685	3,252	4,847
1,685	3,276	4,870
1,685	3,247	4,892
1,680	3,237	4,916
1,685	3,276	4,938
1,685	3,267	4,961
1,680	3,228	4,984
1,685	3,252	5,007
1,685	3,276	5,029
1,680	3,247	5,053
1,685	3,237	5,075
1,680	3,271	5,098
1,689	3,271	5,122
1,680	3,223	5,144
1,680	3,252	5,167
1,685	3,276	5,190
