property,mean,mean std,sigma,sigma std
distance w,3.9862424942604133,0.0058141862702354675,0.09594357940120846,0.005815212089376568
distance n,4.1294051404516905,0.003751689460258624,0.09941219161498505,0.003751722668420332
wavelenght,8.566647826937587,0.004521465759984458,0.15382549721672545,0.004521475726873338
size w,4.5683425896262175,0.0041794743517175464,0.22456066007942432,0.004179867599181976
size n,4.3870519535386014,0.004798443249644996,0.23870859032591252,0.0047984397063648996
menisc size b,0.08762139671807076,0.0003721378890799895,0.01838106856576327,0.0003721713493438903
menisc size f,0.07637625807349831,0.0003798030933636176,0.01874397196975397,0.00038005314546406705
velocity w,1.5928257802571875,0.08634945437593308,0.48626337622501214,0.08635921258442641
velocity n,1.4019244180948727,0.043606784922802,0.3380461966659134,0.043608566295119514
