property,mean,mean std,sigma,sigma std
distance w [mm],2.916964531755519,0.0023494739791535334,0.07459519501920209,0.002386299576130636
distance n [mm],3.0257361504449847,0.0027188098490984257,0.07734550498943737,0.0027207253180688714
wavelenght [mm],10.653387565505819,0.017974798200584514,0.36441480232793433,0.017976081329038687
size w [mm],7.767864524981444,0.02105212308710819,0.46882750082149727,0.021054981135644028
size n [mm],7.635262322056158,0.01706151247468823,0.47394467508254357,0.01706210182134934
meniscus size b [mm],0.06637639749406375,0.00027347779407511653,0.018476435200237118,0.0002743381054079134
meniscus size f [mm],0.07207753616516176,0.00032548017343862664,0.019696808938726162,0.00032550599662715127
velocity w [mm/s],2.998909454446872,0.12602979020207997,0.8262166041921855,0.12603254362366095
velocity n [mm/s],3.50556226025245,0.16966704453215314,0.8764966271049068,0.16967929961262254
