property,mean,mean std,sigma,sigma std
distance w [mm],2.7117817905447645,0.001080741196838281,0.02799625876599099,0.0010807663190247779
distance n [mm],2.8299402201815798,0.0012901880381064154,0.03366197609871646,0.0012902293038743857
wavelength [mm],11.881443763494628,0.039834571021619074,0.369051957675367,0.04429295575340139
size w [mm],9.307757511348733,0.013452775990000438,0.28134839678942924,0.013453121399700663
size n [mm],9.15840819313552,0.014346316041828677,0.2864004344659128,0.014345876056568238
meniscus size b [mm],0.062950863686747,0.00037212633314644453,0.020011174324708225,0.0003743240798937212
meniscus size f [mm],0.08032532846483136,0.0005009295517807351,0.030072699917365497,0.000506980303099355
velocity w [mm/s],4.281157920631602,0.38289090995634856,2.5689980677722337,0.4564991392707147
velocity n [mm/s],4.721681191081785,0.517341364049296,2.9016532424905055,0.5982765606963218
