property,mean,mean std,sigma,sigma std
distance w [mm],5.121760116678707,0.006291420457012918,0.16609429686427846,0.006291500250708477
distance n [mm],5.248256680018757,0.006237204865128626,0.15920639153700877,0.006237236425572041
wavelength [mm],7.926680254792127,0.002596433755610675,0.09615934206998489,0.002596476254981037
size w [mm],2.8148757675576936,0.0022718782196398763,0.10344923313463772,0.0022718666129091397
size n [mm],2.6561842950658465,0.0027505561273862616,0.10533827836497123,0.002750597429267111
meniscus size b [mm],0.07112875990240028,0.0003883183823204121,0.017836447546080603,0.0003894317098923183
meniscus size f [mm],0.08345510003167951,0.0003186483570247855,0.02001585480636514,0.00031883580000384643
velocity w [mm/s],2.9527659162297,0.07554025156421981,1.742779545454451,0.07782501499480482
velocity n [mm/s],3.000251790927494,0.09032046034702901,1.7681145290758593,0.09325014826852467
