property,mean,mean std,sigma,sigma std
Temporal distance 1 [s],1.3251173289432938,0.007244819015692886,0.09152399184478166,0.007820834257688
Temporal distance 2 [s],1.2991572374840625,0.0054672293975897525,0.07852093462435494,0.005559492243092026
temporal size 1 [s],3.226853262689132,0.006054651199855433,0.0984810316108311,0.006054751070010875
temporal size 2 [s],3.2561817601921756,0.009117145147536218,0.1401100536461093,0.009119199520550767
temporal period 1 [s],4.565799610549135,0.01097440816176707,0.1358159308245097,0.010973826128383452
temporal period 2 [s],4.583556447893627,0.013663391979550707,0.15621618416317573,0.013669258391120905
spatial size 1 [s],7.331645046157176,0.023521327864813313,0.3627164241900731,0.02358656457039384
spatial size 2 [s],7.392506250164419,0.045080102553615685,0.4856715819320465,0.046146456789759996
fiber spatial size 1 [s],0.8621658404553262,0.00019611690700151323,0.027583279530321914,0.00019611980528438475
fiber spatial size 2 [s],0.8525112595300359,0.00033775986082109824,0.024035307284314467,0.0003377594011493725
spatial distance 1 [s],2.940775891824124,0.0015996787845495735,0.0942912193681602,0.0016126690864062296
spatial distance 2 [s],2.918075279395591,0.001406642980655033,0.07837937591915978,0.0014069288541424814
