property,mean,mean std,sigma,sigma std
Temporal distance 1 [s],4.670250525462966,0.02518589863976985,0.2647769955035373,0.02537818397786556
Temporal distance 2 [s],4.564402715723139,0.015372128411610968,0.23094650836505548,0.015536223988124605
temporal size 1 [s],4.903117225014409,0.019161417415576504,0.22820009567416477,0.019160755728921067
temporal size 2 [s],4.860178684691653,0.02780016181026327,0.3322445371390954,0.027856590172072527
spatial size 1 [s],4.202916938545075,0.02793483798366094,0.24685654667976387,0.02795333181910819
spatial size 2 [s],4.200064902998696,0.018513827471936577,0.1688409749604718,0.018514150731022277
fiber spatial size 1 [s],0.8726784823003287,0.00012328227347885328,0.014904600161617765,0.00012357410631672942
fiber spatial size 2 [s],0.8754693600312093,0.00010959668492419479,0.014586165993345723,0.00010978376500669992
