property,mean,mean std,sigma,sigma std
distance w [mm],3.9815917219403696,0.0039020285705558826,0.100701870231094,0.0039031722160017697
distance n [mm],4.125586910742878,0.00320332883130791,0.1034453141100895,0.0032032972715532572
wavelenght [mm],8.553476949290468,0.004834386214940403,0.1427815780855246,0.004834556122729729
size w [mm],4.570457015650944,0.007700186432642907,0.21796005914344163,0.007700848241344719
size n [mm],4.3988365584900295,0.0068567045858767325,0.22815911776477993,0.006856637011798154
meniscus size b [mm],0.08639506316106431,0.0003925706590036316,0.020204792459262766,0.00039260740263231405
meniscus size f [mm],0.07585474126798304,0.0004788545133037873,0.02042011519464637,0.00047904944195790604
velocity w [mm/s],1.4704601792691303,0.0341395213422272,0.9259517978142346,0.03465733867237447
velocity n [mm/s],1.4671055955120045,0.031733559841971556,0.9257222195819386,0.03221616575759465
