property,mean,mean std,sigma,sigma std
distance w [mm],2.916105443755757,0.0024221124627433034,0.07520914977182769,0.002464380498880008
distance n [mm],3.024863020941149,0.002937669999661514,0.07813086972810757,0.0029401469573653418
wavelenght [mm],10.642573152849025,0.01776097554263181,0.3473869741278497,0.017761599404381215
size w [mm],7.766063857926504,0.021168405470367923,0.46799830556603195,0.021170823514569975
size n [mm],7.630231430202227,0.017734503329950295,0.4762090960191452,0.017735118358864373
meniscus size b [mm],0.06426062256805319,0.0004579943838055414,0.025623105869802876,0.00047511223601980307
meniscus size f [mm],0.07030340955331385,0.0005810961709339258,0.03658990484931368,0.0006068513581325233
velocity w [mm/s],2.834435631130753,0.04577630742310158,1.6780779911134647,0.046954519310968425
velocity n [mm/s],2.8261863169711963,0.04583760107199651,1.671105923875679,0.046996346108738776
