property,mean,mean std,sigma,sigma std
distance w [mm],0.5398184451655295,0.0028939292028138286,0.13577480073931825,0.0028999919654837986
distance n [mm],0.6571661136890381,0.002924515043167574,0.13665524263583895,0.002925959628248459
wavelength [mm],1.2352405071418688,0.005741623237998285,0.20526862897456688,0.005754170990688776
size w [mm],0.7312536132724422,0.01501949924865688,0.24220858109459686,0.015027571593476969
size n [mm],0.6098332376102046,0.014088690438716649,0.23873922422265492,0.014135777499845098
meniscus size b [mm],0.062061648538083276,0.00043018744191171507,0.022702649336479475,0.0004301910499371927
meniscus size f [mm],0.049666920270204334,0.0002966623341641192,0.01708553044834793,0.00029666556414075814
velocity w [mm/s],0.9097275402430942,0.01960740650210073,0.407679157118914,0.020323628574289185
velocity n [mm/s],0.9120790497796757,0.019321697767404156,0.4030590213443803,0.019843441854200457
