property,mean,mean std,sigma,sigma std
Temporal distance 1 [s],1.2063443359631894,0.0012025827232856863,0.0336532886392269,0.0012026391928127431
Temporal distance 2 [s],1.183367376067945,0.0008370954496392261,0.025593727147124046,0.0008371126576341821
temporal size 1 [s],0.43824900869878,0.00048556016563687185,0.028953095927712003,0.00048555573912495014
temporal size 2 [s],0.45498988169580584,0.0008412102575213385,0.0230003984938989,0.0008411850284985379
temporal period 1 [s],1.625660613618985,0.001608893687473668,0.026793235937315085,0.0016089631819898246
temporal period 2 [s],1.6242058242008364,0.0008934355096622869,0.018516245434034184,0.0008934482531347529
dt detectors [s],11.11237047346913,0.0027219280492840245,0.03842996953629618,0.00448594307153176
velocity [s],4.504961776426983,0.0010409542103205199,0.012634489891600653,0.001683327474623327
velocity [mm/s],4.504961776426983,0.0010409542103205199,0.012634489891600653,0.001683327474623327
spatial size 1 [s],1.8858764961883299,0.0018157681249957645,0.09572767786801295,0.0018157902660279146
spatial size 2 [s],1.9705539650316823,0.0025410778339166745,0.08462295650399154,0.0025410618924320352
spatial distance 1 [s],5.39133038196277,0.005523125998600142,0.14772854341704322,0.00552310780840595
spatial distance 2 [s],5.289541725351355,0.004684899809215326,0.12931612956072192,0.0046848236281764565
fiber spatial size 1 [s],0.9142607339700616,0.0014987542956570734,0.06728103755407511,0.0014987236842265077
fiber spatial size 2 [s],0.8762868101293975,6.595146538059079e-05,0.03703053833220982,6.595142543817146e-05
