property,mean,mean std,sigma,sigma std
distance w [mm],0.5544974415902482,0.009405598066913943,0.1794784480453231,0.009405787952396216
distance n [mm],0.7006751498259604,0.008881486765241541,0.17774599809194291,0.00888171595579735
wavelength [mm],1.5795464053577906,0.03407854177248948,0.4755412492696802,0.03496829141979475
size w [mm],0.9899174344761579,0.028001962290812504,0.3599622915837839,0.028574274698932575
size n [mm],0.8416684841364089,0.026346097937724352,0.3519163960040166,0.026441297687450068
meniscus size b [mm],0.0773827950851231,0.0002795357795188739,0.023113238409441017,0.00027954017474739364
meniscus size f [mm],0.06524885714203446,0.00018581108328620904,0.018051389707698595,0.00020259345202528078
velocity w [mm/s],2.13725882103997,0.015338730996988258,0.5661670929129552,0.015420991958419235
velocity n [mm/s],2.1376599826322993,0.01504563893345608,0.5659373769930294,0.015122767392919394
