property,mean,mean std,sigma,sigma std
Temporal distance 1 [s],0.7314008211274418,0.00012120921896583243,0.016191733109708784,0.00012213076164651566
Temporal distance 2 [s],0.711390656142524,0.0006604475614802816,0.03739870070150686,0.0006604347150705215
temporal size 1 [s],0.87000579567115,0.00026526120573548885,0.02823680585641264,0.0002652624858056755
temporal size 2 [s],0.8902717295340605,0.0006208338903515341,0.03641877781973446,0.0006208362759914733
dt detectors [s],53.03799683676397,2690.537314007244,8.154572822958368,266.25311652810433
velocity [s],4.057568517278263,0.002623757241706044,0.030427614558762972,0.002623857559018123
spatial size 1 [s],3.5126159477753487,0.004956588672950395,0.11531471807427707,0.004978664099903247
spatial size 2 [s],3.5960197367328512,0.0077778003835563625,0.17002742854402642,0.007777889097784444
temporal period 1 [s],1.599751570410348,0.00042127458312927275,0.024856050427773946,0.0004201340195604734
temporal period 2 [s],1.5991617778134957,0.00035716415016417134,0.03154282050034496,0.0003571618981337475
spatial distance 1 [s],2.967526104002255,0.0039048441627603995,0.06140911726070697,0.004841100614902788
spatial distance 2 [s],2.9845142808398966,0.008835965622948062,0.20606952323886185,0.00883612179607161
fiber spatial size 1 [s],0.7491543399124893,0.0012494635170096889,0.06518107798103134,0.0012494456784762002
fiber spatial size 2 [s],0.935975489132228,0.0064670795214885855,0.1534929005977821,0.006474171672803409
