property,mean,mean std,sigma,sigma std
Temporal distance 1 [s],0.5551827332382652,0.0008912068416419733,0.02860897946301688,0.0008911865013927947
Temporal distance 2 [s],0.5460871127784069,0.0008205329249807518,0.034329432082149225,0.0008208646197874727
dt detectors [s],6.046599752050953,0.008294397513345127,0.12330290438672664,0.008403845903858466
velocity [mm/s],8.267345666401518,0.011432511302447903,0.16831684940554803,0.011548100555680478
fiber spatial size 1 [s],1.016342577198823,0.0009374804814820939,0.10238948552070548,0.0009374788335431614
fiber spatial size 2 [s],1.079672631029373,0.003252157051798538,0.12001293178031802,0.003252200927262307
temporal size 1 [s],0.25483134381074773,0.00011944417790571249,0.014570636039519691,0.00011944374708803368
temporal size 2 [s],0.2649281034342881,0.0002745582750068186,0.01695263317706952,0.0002745640385765767
temporal period 1 [s],0.8084869912705562,0.001183501750840966,0.025818148848938627,0.0011859983647917647
temporal period 2 [s],0.8096002247455766,0.000968535641408844,0.02823948289721523,0.0009733931952400965
spatial size 1 [s],2.11095827229729,0.0014249076361204838,0.11542351033477005,0.001424911399110344
spatial size 2 [s],2.189313995740333,0.002868609589841655,0.1367602684817506,0.002868631717330001
spatial distance 1 [s],4.620026950249541,0.002440800531878526,0.18849329688896077,0.0024408131152418786
spatial distance 2 [s],4.532457233898172,0.006959144860046777,0.23264161502859704,0.006959408781201394
