property,mean,mean std,sigma,sigma std
Temporal distance 1 [s],0.5910793603664508,0.0006885521006752669,0.02122792610647628,0.0006886436941875855
Temporal distance 2 [s],0.5509132668142944,0.0009079733819319379,0.03289459096397973,0.0009080916022254847
temporal size 1 [s],1.8626715050172833,0.0023224164849752573,0.06778267351030132,0.002322442445490467
temporal size 2 [s],1.9025957867905925,0.003907576771498242,0.0812531487323449,0.003907515944443223
temporal period 1 [s],2.4469651165944266,0.004589128391978409,0.07102361455271256,0.004589287413612584
temporal period 2 [s],2.4589847541692076,0.003475852902699844,0.06423538764062231,0.0034758033320514263
dt detectors [s],10.785757998796988,0.006149777641021844,0.054000928569177375,0.006149298938975281
velocity [mm/s],4.661699635062902,0.005898996254736258,0.06890432407054847,0.005899904370746493
spatial size 1 [s],8.728842819173568,0.0166620135224018,0.29998853795916247,0.016662252616187746
spatial size 2 [s],8.889533109263962,0.019844837787795677,0.34957958345687157,0.01984536232033808
spatial distance 1 [s],2.7617535056418485,0.0027565163849936347,0.09818510253712565,0.0027568225479480428
spatial distance 2 [s],2.5981776647592523,0.004985436360503668,0.15293402464457162,0.004986633594708072
fiber spatial size 1 [s],0.908327754099654,0.0013442882670898254,0.05638911030089844,0.0013443024301381813
fiber spatial size 2 [s],1.0403197507016613,0.006306106861324692,0.14857103886056788,0.006306504002919588
