file containing parameters from fit: center_1, sigma_1, center_2, sigma_2
spatial size wide (mm)	8.190821175064196	0.014253737163632962	0.36095679470388986	0.014253280001169412	8.265076830913955	0.030048986374569632	0.5100328640674703	0.030048439519632913
spatial size narrow (mm)	6.175778920372129	0.01691586143943463	0.3856796720647395	0.016915753685390333	6.515161279742703	0.027501313343956543	0.489557178137799	0.027502086756862044
temporal size wide (s)	3.5904775175891497	0.005434746109062948	0.09982169909109384	0.005434936827514248	3.6483450053158033	0.007470618032559693	0.13715281165173532	0.0074706901729076226
temporal size narrow (s)	2.7197871223794645	0.00445624532576122	0.13108340248230665	0.0044563130705717316	2.864150905214042	0.005860982922490281	0.1356535349017114	0.005860774737629467
temporal distance wide (mm)	0.9363443299547467	0.0022963191517676256	0.07098700553931314	0.002296251937249225	0.9147610090413872	0.0023446775014705603	0.06786354805697248	0.0023446967556581045
temporal distance narrow (mm)	1.8248573875253133	0.003695926081996944	0.11451065439682662	0.003695910416652481	1.6893015346960292	0.0056353794250344124	0.09509293774054028	0.0056355684371006505
period wide (s)	4.5559773175079625	0.008643992497337832	0.12189585476685827	0.00864437745887961	4.545500108275569	0.010957030544004128	0.14573699837198228	0.010957528418377221
period narrow (s)	4.56193043758395	0.006993630462197247	0.1412521393855195	0.006993394577358698	4.557650775719379	0.009535923891031675	0.15584991326178343	0.009535879298765353
meniscus start, end, sig1	0.3928261667739435	0.0009278461402021327	0.024106257272303422	0.0009278010369252269	0.47267072555020384	0.002388548175429316	0.07701736650254642	0.002390230170065672
meniscus start, end, sig2	0.41833449309672055	0.0004795931146238328	0.018022384166882732	0.0004795883173231732	0.34901999664218064	0.0004197735327607604	0.025510636651873586	0.00041979374418476124
mean velocity wide, narrow (mm/s)	2.3549627571928675	6.93753538709568e-05	2.347840219813683	0.00016720455916864363
