property,mean,mean std,sigma,sigma std
Temporal distance 1 [s],2.193506443970876,0.0023193143356776548,0.050727494623140634,0.0023193990358124235
Temporal distance 2 [s],2.1792433224672,0.0024171391749486077,0.06453609399308102,0.002417185763521617
temporal size 1 [s],1.1253050885693312,0.003149216479763648,0.06416977892889686,0.003262134940244531
temporal size 2 [s],1.1379830098706538,0.0023438306179542913,0.058285849642986776,0.002430486865619781
temporal period 1 [s],3.2992614733802537,0.015136764520424546,0.09688666770992405,0.015336005102299462
temporal period 2 [s],3.2913334150893063,0.006689494331300675,0.05327309040282713,0.006688199729285445
dt detectors [s],-46.53988044739053,6969.502132774593,11.181581463621137,566.0807079865748
velocity [s],2.3973126969283007,0.3257210099630013,0.1778065107049911,0.1894871878295045
spatial size 1 [s],2.5371553186862,0.003914883353639263,0.10082262462990177,0.003919640395510437
spatial size 2 [s],2.569028382184915,0.0019435330347779892,0.0853155394606746,0.0019446230813549015
spatial distance 1 [s],5.049395898928936,0.006709155827794804,0.12368030690848042,0.006709476908226923
spatial distance 2 [s],4.998590672643337,0.008391311996464338,0.16957147935641448,0.008400124729221713
fiber spatial size 1 [s],0.863941787036223,5.2681539236041635e-05,0.02268246681001984,5.310445339222936e-05
fiber spatial size 2 [s],0.8806894967331658,9.204073257797996e-06,0.019313728711114253,9.204146695823273e-06
