property,mean,mean std,sigma,sigma std
distance w [mm],3.519536635339126,0.0002588614800954308,0.04912381524537213,0.00034328895914824235
distance n [mm],3.6327670874203095,0.0003990458496875839,0.050506380289517816,0.0005053247139575211
wavelength [mm],7.873896044053461,0.0015430551866329801,0.11887324598111149,0.001543051325426094
size w [mm],4.370011217593311,0.0025087874206001963,0.13262470467982834,0.0025087781674153534
size n [mm],4.244065500329505,0.0025856007960944633,0.13130960802539904,0.0025856313660148583
meniscus size b [mm],0.0509508731004038,0.0001233765541410472,0.011352469363380857,0.0001234395427649373
meniscus size f [mm],0.06730332413517956,0.0003952957065956088,0.01907309319978756,0.00039592595176698406
velocity w [mm/s],3.1763211741644777,0.24831908912223805,2.4526093279221195,0.2866952114234274
velocity n [mm/s],3.392929607189943,0.16111364048346674,2.2225277532791767,0.175848608759698
