property,mean,mean std,sigma,sigma std
distance w [mm],3.7788325676951193,0.0021123465373668843,0.09501422137191873,0.002122804994364853
distance n [mm],3.8750582101303817,0.0018369346791657067,0.09953826839822222,0.0018421506353189564
wavelength [mm],8.147050991893325,0.0021924610372922766,0.10988540580717499,0.002192652243088045
size w [mm],4.365403249356701,0.005998140566676323,0.1694624105643956,0.00599819353788031
size n [mm],4.255478620398548,0.004903664379094119,0.17137098357924718,0.004903588609297609
meniscus size b [mm],0.052884182258695865,0.00015177396005297688,0.010836429080280263,0.00015177481587341427
meniscus size f [mm],0.05486520092975379,0.00023951788447844815,0.013615893553744929,0.00023952889097912064
velocity w [mm/s],2.1974447321682664,0.008339422033013928,0.101973505415629,0.008339795472869636
velocity n [mm/s],2.526671156819404,0.1303191979847027,1.0390081769450248,0.13032397117916666
