v offset,I_a,I ol,I w
0.0,43.64295250502447,61.44782164784384,63.51834982442932
25.0,43.552552772447434,60.99635937177851,63.31399883884108
50.0,42.99151490225504,59.9980421819304,62.68149913897349
75.0,42.197615735791686,58.59718404153313,61.63568426436061
100.0,41.20255530904562,56.897228462656734,60.26875854820333
125.0,40.06511811415738,54.88939330328952,58.627949823772866
150.0,38.5980736783689,52.4842399488889,56.70377778740404
175.0,36.8545521125905,49.8603864046749,54.45014598301636
200.0,34.96315714164242,46.70247252635964,51.76672534709502
225.0,32.529711707417334,42.983382505292376,48.53099401622569
250.0,29.420068249981085,38.46567144429805,44.47890486123062
